,Date,BC_Zone,Elev,Asp,Type,Trigger,Rsize,Dsize,Avg_Slope_Angle,Start_Zone_Elev,Start_Zone_Elev_units,Sliding_Sfc,Weak_Layer,Weak_Layer_Type,Avg_Width,Max_Width,Width_units,av_bol
1674,2021/01/31,Gunnison,>TL,SE,SS,N,R3,D2.5,,,,O,,,,,,1
1675,2021/01/31,Gunnison,>TL,E,SS,N,R3,D2,,,,O,,,,,,1
1676,2021/01/31,Gunnison,>TL,SE,SS,N,R3,D3,,,,O,,,,,,1
1677,2021/01/31,Gunnison,TL,E,,N,R4,D2,,,,O,,,,,,1
1685,2021/01/30,Northern San Juan,TL,NE,HS,N,R3,D2,30.0,12440.0,ft,O,Unknown,Unknown,500.0,500.0,ft,1
1686,2021/01/30,Northern San Juan,TL,E,HS,N,R3,D2.5,30.0,12440.0,ft,O,Unknown,Unknown,1000.0,1000.0,ft,1
1687,2021/01/30,Northern San Juan,TL,E,HS,N,R3,D2.5,30.0,12440.0,ft,O,Unknown,Unknown,1000.0,1000.0,ft,1
1691,2021/01/30,Northern San Juan,<TL,E,,N,R3,D2,,,,,,,,,,1
1692,2021/01/30,Northern San Juan,>TL,N,SS,N,R3,D2,,,,,,,,,,1
1703,2021/01/30,Southern San Juan,TL,E,SS,AS,R3,D2.5,,,,O,Interface,Faceted Crystals,,,,1
1707,2021/01/30,Northern San Juan,TL,E,SS,AS,R3,D2,,,,,,,,,,1
1744,2021/01/28,Northern San Juan,TL,N,,N,R3,D2,,,,,,,,,,1
1764,2021/01/27,Southern San Juan,TL,NE,SS,AM,R3,D2,,,,,,,,,,1
1768,2021/01/27,Aspen,TL,SE,SS,N,R3,D3,,,,,,,,,,1
1775,2021/01/27,Northern San Juan,>TL,E,SS,N,R3,D2,,,,,,,,,,1
1778,2021/01/27,Northern San Juan,<TL,SE,SS,AS,R3,D1.5,,,,,,,,,,1
1780,2021/01/27,Northern San Juan,>TL,E,SS,N,R3,D2,,,,,,,,,,1
1783,2021/01/27,Northern San Juan,>TL,E,SS,N,R3,D2.5,,,,,,,,,,1
1788,2021/01/27,Front Range,>TL,SE,HS,N,R3,D2.5,,11500.0,ft,,,,,,,1
